hour,electrolyser_power_mw,h2_production_kg,wind_curtailment_mw,external_supply_kg,unserved_kg,storage_soc_kg,pipe1_flow_kg,pipe1_utilization,pipe2_flow_kg,pipe2_utilization
0,634.820315938259,12696.4063187652,0,31771.2473666308,0,190000,7010.53940101362,0.0233452918934261,5685.86691775155,0.0105841879644154
1,691.904545570495,13838.0909114099,0,29359.2434088468,0,190000,8658.0909114099,0.0288316844118242,5180,0.00964252143934328
2,716.293345887577,14325.8669177515,0,27486.7559262047,0,190000,9900,0.0329672763427451,4425.86691775155,0.00823870977646708
3,734.546316438293,14690.9263287659,0,25869.0736712341,0,190000,10433.3103463026,0.0347432146824425,4257.61598246322,0.00792551223772049
4,775.904545570495,15518.0909114099,0,24214.5319325463,0,190000,10440,0.0347654914159857,5078.0909114099,0.00945281862629425
5,844.334482684868,16886.6896536974,0,22707.9789868161,0,190000,10446.6896536974,0.034787768149529,6440,0.0119879996272916
6,922.388800317082,18447.7760063416,0,21859.8776790543,0,190000,10980,0.0365637064892264,7467.77600634165,0.0139011950280623
7,996.095454429505,19921.9090885901,0,21956.7580715383,0,190000,12221.9090885901,0.0406992984201473,7700,0.01433347781524
8,1025.61119968292,20512.2239936584,43.4730299493189,23632.7451649019,0,190000,13000,0.0432903628743118,7512.22399365835,0.0139839345397683
9,1035,20700,114.165001850667,26100,0,190000,13000,0.0432903628743118,7700,0.01433347781524
10,1082.09545442951,21641.9090885901,142,27813.1217528496,0,190000,13000,0.0432903628743118,8641.9090885901,0.0160868327535879
11,1144.11920087684,22882.3840175368,114.165001850667,28838.9488223348,0,190000,13000,0.0432903628743118,9882.38401753678,0.0183959652048112
12,1170,23400,51.1796840617415,29892.3463146041,0,190000,13000,0.0432903628743118,10400,0.0193595025037008
13,1122.09545442951,22441.9090885901,0,31563.4222708964,0,190000,12221.9090885901,0.0406992984201473,10220,0.0190244341911367
14,1013.70665411242,20274.1330822485,0,33593.2440737953,0,190000,10980,0.0365637064892264,9294.13308224845,0.0173009416034151
15,953.453683561707,19069.0736712341,0,33970.9263287659,0,190000,10446.6896536974,0.034787768149529,8622.38401753679,0.0160504870168628
16,954.095454429505,19081.9090885901,0,32705.4680674537,0,190000,10440,0.0347654914159857,8641.9090885901,0.0160868327535879
17,969.665517315132,19393.3103463026,0,31009.3553334406,0,190000,10433.3103463026,0.0347432146824425,8960,0.0166789560031884
18,933.611199682918,18672.2239936584,0,30460.1223209457,0,190000,9900,0.0329672763427451,8772.22399365835,0.0163294127277166
19,817.904545570495,16358.0909114099,0,31760.5762487185,0,190000,8658.0909114099,0.0288316844118243,7700,0.01433347781524
20,660.915770367764,13218.3154073553,0,34156.7154340845,0,190000,7010.53940101362,0.0233452918934262,6207.77600634165,0.0115557168401139
21,538.834998149333,10776.6999629867,0,36023.3000370133,0,190000,5596.69996298666,0.0186371670997184,5180,0.00964252143934328
22,505.904545570495,10118.0909114099,0,36106.8782471504,0,190000,5040,0.0167833406835793,5078.0909114099,0.00945281862629425
23,555.715797272494,11114.3159454499,0,34367.0168944218,0,190000,5596.69996298666,0.0186371670997184,5517.61598246321,0.0102709904256688
